nation,date,tmax,tmin,precip,month,day,year
Germany,1986-01-12,2.6217457627118645,1.154762711864407,4.397033730874576,1,12,1986
Germany,1987-01-12,-10.560999999999998,-16.029525423728813,4.017458090928813,1,12,1987
Germany,1988-01-12,3.0975084745762733,-0.5349322033898266,0.36464967006101695,1,12,1988
Germany,1989-01-12,6.5938135593220375,1.151406779661016,1.093337595457627,1,12,1989
Germany,1990-01-12,4.654220338983048,-0.9891864406779681,0.5005385315389831,1,12,1990
Germany,1991-01-12,5.400288135593216,1.8844745762711872,0.5343616075118645,1,12,1991
Germany,1992-01-12,2.453067796610172,-0.8564576271186414,0.9844344844474576,1,12,1992
Germany,1993-01-12,8.865898305084745,1.8160508474576318,12.487754990928813,1,12,1993
Germany,1994-01-12,7.874932203389829,2.5955423728813556,2.8805364270915255,1,12,1994
Germany,1995-01-12,0.5928135593220349,-1.9265423728813607,3.141228594020339,1,12,1995
Germany,1996-01-12,4.20913559322034,1.1753220338983024,0.7392495918508475,1,12,1996
Germany,1997-01-12,-3.588881355932208,-11.01228813559322,0.24370098467796608,1,12,1997
Germany,1998-01-12,8.414847457627115,2.8032711864406736,0.10181851102372881,1,12,1998
Germany,1999-01-12,0.034898305084745215,-3.092372881355933,3.4370100674847457,1,12,1999
Germany,2000-01-12,1.5693050847457615,-2.669508474576274,0.15536810965423728,1,12,2000
Germany,2001-01-12,1.5116949152542354,-2.9566101694915248,0.18785293090169494,1,12,2001
Germany,2002-01-12,0.8927118644067781,-1.6261864406779694,2.3782377315661014,1,12,2002
Germany,2003-01-12,-1.6765762711864372,-7.842779661016947,0.8243238488949152,1,12,2003
Germany,2004-01-12,5.739203389830503,1.7798813559321998,7.620659403254238,1,12,2004
Germany,2005-01-12,8.68138983050847,4.6025593220338985,2.148153256677966,1,12,2005
Germany,2006-01-12,2.0055423728813526,-1.131881355932204,1.0533025764610169,1,12,2006
Germany,2007-01-12,9.195169491525421,5.4983220338983045,3.4835328556474576,1,12,2007
Germany,2008-01-12,7.381677966101693,2.3830169491525406,0.856153855159322,1,12,2008
Germany,2009-01-12,0.25940677966102016,-6.298254237288134,0.01643876762033898,1,12,2009
Germany,2010-01-12,-2.6453050847457615,-6.463338983050847,0.41568244059661014,1,12,2010
Germany,2011-01-12,4.575050847457625,1.4231355932203378,4.5608392500406785,1,12,2011
Germany,2012-01-12,7.102423728813561,2.394169491525423,3.6886539626237287,1,12,2012
Germany,2013-01-12,-0.42413559322033567,-4.635898305084743,0.7428282836949153,1,12,2013
Germany,2014-01-12,4.434067796610169,0.07120338983050695,0.3811173247525424,1,12,2014
Germany,1979-01-13,-0.21552542372880867,-3.365084745762708,3.3495791631864407,1,13,1979
Germany,1980-01-13,-6.363169491525421,-11.275406779661017,0.1951702861423729,1,13,1980
Germany,1981-01-13,-0.09269491525423228,-3.548983050847458,2.0087000505762713,1,13,1981
Germany,1982-01-13,-5.910271186440678,-13.129864406779662,0.045446631498305086,1,13,1982
Germany,1983-01-13,4.879322033898306,0.011084745762710619,1.7835326992677967,1,13,1983
Germany,1984-01-13,5.4839661016949135,-0.42918644067796324,7.9318904256,1,13,1984
Germany,1985-01-13,-8.513203389830508,-17.796881355932204,0.5258366437423728,1,13,1985
Germany,1986-01-13,4.874220338983049,1.821288135593221,7.031657851322033,1,13,1986
Germany,1987-01-13,-12.296593220338982,-21.66786440677966,1.664882751538983,1,13,1987
Germany,1988-01-13,3.1308644067796627,-2.2758813559322046,0.08350310355254237,1,13,1988
Germany,1989-01-13,6.753169491525422,2.042423728813559,1.540180819037288,1,13,1989
Germany,1990-01-13,2.7249661016949145,-1.7487627118644082,0.4681702043389831,1,13,1990
Germany,1991-01-13,3.1838983050847443,-1.0242711864406775,0.7328196795661016,1,13,1991
Germany,1992-01-13,2.1019322033898296,-1.185254237288133,0.6104747033084746,1,13,1992
Germany,1993-01-13,9.559135593220342,1.0151694915254226,0.9470762455728814,1,13,1993
Germany,1994-01-13,10.368101694915255,5.787338983050849,6.085948766033899,1,13,1994
Germany,1995-01-13,-0.5169999999999996,-5.321745762711866,0.6741638046915255,1,13,1995
Germany,1996-01-13,3.717389830508474,1.1921355932203401,0.5214723987661016,1,13,1996
Germany,1997-01-13,0.2597627118644067,-5.915762711864406,0.4762294613694915,1,13,1997
Germany,1998-01-13,7.451694915254236,1.7613728813559313,0.027218516949152543,1,13,1998
Germany,1999-01-13,1.4843728813559305,-3.1457288135593213,3.4048313226305083,1,13,1999
Germany,2000-01-13,0.4444745762711828,-3.9160169491525427,0.11419847572881356,1,13,2000
Germany,2001-01-13,-0.10562711864406803,-4.528288135593219,0.08271752522033898,1,13,2001
Germany,2002-01-13,1.165016949152542,-2.1718474576271194,0.4809429064677966,1,13,2002
Germany,2003-01-13,1.830694915254239,-4.084779661016952,9.43183256778305,1,13,2003
Germany,2004-01-13,7.2040847457627075,2.03120338983051,10.08498947442712,1,13,2004
Germany,2005-01-13,5.2708983050847475,2.6161355932203367,1.8316561166237288,1,13,2005
Germany,2006-01-13,0.9135423728813538,-2.73798305084746,0.3886530201762712,1,13,2006
Germany,2007-01-13,10.55684745762712,8.652220338983055,3.474048212298305,1,13,2007
Germany,2008-01-13,4.891881355932204,0.4295084745762686,0.21437304223728815,1,13,2008
Germany,2009-01-13,2.316000000000002,-2.7781525423728843,1.1996803674305085,1,13,2009
Germany,2010-01-13,-2.2573898305084708,-5.896559322033894,0.6413152797152543,1,13,2010
Germany,2011-01-13,9.297949152542369,4.469406779661013,14.172101641708474,1,13,2011
Germany,2012-01-13,3.644355932203392,1.0259491525423692,2.990079436942373,1,13,2012
Germany,2013-01-13,-1.605372881355933,-5.770135593220339,0.3669335179932203,1,13,2013
Germany,2014-01-13,4.873457627118646,-0.38318644067796626,0.8614490655050847,1,13,2014
Germany,1979-01-14,-0.7327796610169472,-3.8541355932203407,2.035438728162712,1,14,1979
Germany,1980-01-14,-5.035966101694918,-10.742711864406777,0.03514694814915254,1,14,1980
Germany,1981-01-14,0.26657627118643834,-5.040084745762713,7.697180310223728,1,14,1981
Germany,1982-01-14,-5.585254237288137,-12.00764406779661,0.006459124027118644,1,14,1982
Germany,1983-01-14,2.9044745762711877,0.4406440677966109,4.590225742210169,1,14,1983
Germany,1984-01-14,7.414813559322033,1.4820508474576255,12.59185742042034,1,14,1984
Germany,1985-01-14,-7.791474576271191,-18.386593220338984,1.3395988725559322,1,14,1985
Germany,1986-01-14,6.953661016949154,1.8996101694915246,11.9494942776,1,14,1986
Germany,1987-01-14,-14.009,-20.051338983050847,0.08874022246779661,1,14,1987
Germany,1988-01-14,3.394288135593217,-2.191016949152544,0.29569402336271183,1,14,1988
Germany,1989-01-14,7.420271186440676,1.6196101694915224,1.1510623768271186,1,14,1989
Germany,1990-01-14,3.2667118644067785,-0.514627118644069,0.8221999593355932,1,14,1990
Germany,1991-01-14,0.5564576271186434,-3.837745762711868,0.21507141392542373,1,14,1991
Germany,1992-01-14,4.63786440677966,0.8685932203389798,2.4675598699932206,1,14,1992
Germany,1993-01-14,10.40235593220339,2.0544915254237286,2.4987494764067795,1,14,1993
Germany,1994-01-14,6.6592542372881365,4.118610169491523,1.7134424993898305,1,14,1994
Germany,1995-01-14,0.5707288135593218,-3.1438813559322023,1.2588308620474575,1,14,1995
Germany,1996-01-14,2.1540508474576288,-0.36006779661016963,0.6422754779389831,1,14,1996
Germany,1997-01-14,1.9188983050847472,-3.784203389830512,0.13948210909830508,1,14,1997
Germany,1998-01-14,8.863288135593221,2.897847457627118,0.21658431270508474,1,14,1998
Germany,1999-01-14,3.497881355932206,0.5082203389830509,4.943964274413559,1,14,1999
Germany,2000-01-14,1.460305084745763,-3.208661016949152,0.4203667029966102,1,14,2000
Germany,2001-01-14,-0.4807966101694892,-5.494983050847455,0.11040159892881357,1,14,2001
Germany,2002-01-14,-0.6824237288135592,-4.377440677966102,0.40416087258305083,1,14,2002
Germany,2003-01-14,4.350830508474577,1.9022711864406747,3.703521470644068,1,14,2003
Germany,2004-01-14,4.858152542372884,1.931000000000005,6.3204261581288135,1,14,2004
Germany,2005-01-14,4.296016949152541,0.3402203389830513,0.8843471766915254,1,14,2005
Germany,2006-01-14,0.553322033898306,-4.735728813559322,0.13500147929491527,1,14,2006
Germany,2007-01-14,9.762813559322032,3.4847118644067847,1.8247895031050847,1,14,2007
Germany,2008-01-14,5.859389830508473,0.6057457627118666,0.4891475893423729,1,14,2008
Germany,2009-01-14,0.9723898305084745,-3.884067796610172,1.4962908144813558,1,14,2009
Germany,2010-01-14,-0.6179999999999979,-4.162898305084747,0.577946007579661,1,14,2010
Germany,2011-01-14,10.237474576271186,8.100152542372879,8.744488427349152,1,14,2011
Germany,2012-01-14,3.3151355932203384,-0.7360677966101711,0.8468725114372881,1,14,2012
Germany,2013-01-14,-2.5040677966101716,-6.547915254237287,0.7763458492067796,1,14,2013
Germany,2014-01-14,4.708813559322031,1.6205932203389828,2.317224714955932,1,14,2014
Germany,1979-01-15,-2.3160508474576242,-7.082237288135594,1.5725929339525424,1,15,1979
Germany,1980-01-15,-5.313576271186441,-12.225745762711863,0.05417519186440678,1,15,1980
Germany,1981-01-15,1.1391694915254238,-2.2089491525423717,9.415015843484746,1,15,1981
Germany,1982-01-15,-1.2831186440677966,-9.016542372881354,0.026302017233898307,1,15,1982
Germany,1983-01-15,4.248237288135595,1.9761355932203408,8.914580410088135,1,15,1983
Germany,1984-01-15,2.2772372881355945,-0.49896610169491357,3.9519354632949155,1,15,1984
Germany,1985-01-15,-5.897627118644073,-13.599830508474575,1.5037536471864406,1,15,1985
Germany,1986-01-15,2.7052372881355926,0.04977966101694615,8.50369752219661,1,15,1986
Germany,1987-01-15,-10.393203389830507,-15.971830508474575,2.7126569583457627,1,15,1987
Germany,1988-01-15,2.5746271186440683,-0.9001016949152582,1.5659590913084744,1,15,1988
Germany,1989-01-15,6.106762711864409,2.119033898305078,0.9214143007728813,1,15,1989
Germany,1990-01-15,4.732745762711866,-0.3741355932203358,1.683358167538983,1,15,1990
Germany,1991-01-15,0.915677966101691,-4.711559322033895,0.0039278446779661014,1,15,1991
Germany,1992-01-15,4.795762711864406,3.3299830508474564,1.656066883118644,1,15,1992
Germany,1993-01-15,8.367474576271187,0.5166101694915269,0.39426835191864407,1,15,1993
Germany,1994-01-15,4.528983050847462,2.281830508474576,2.148967749844068,1,15,1994
Germany,1995-01-15,2.5174915254237265,0.0747966101694896,2.002415726074576,1,15,1995
Germany,1996-01-15,1.2508135593220358,-1.364864406779659,0.5437882592542373,1,15,1996
Germany,1997-01-15,0.6385084745762709,-5.304677966101694,0.00436427353220339,1,15,1997
Germany,1998-01-15,6.632254237288136,2.9170677966101723,0.9093108703728814,1,15,1998
Germany,1999-01-15,5.472576271186444,1.603101694915258,4.790341993667797,1,15,1999
Germany,2000-01-15,1.343203389830505,-2.8242203389830527,0.6993600658169492,1,15,2000
Germany,2001-01-15,-0.736305084745765,-5.403576271186435,0.05014548951864407,1,15,2001
Germany,2002-01-15,-2.22116949152542,-6.257338983050845,0.38059373483389836,1,15,2002
Germany,2003-01-15,3.6351355932203417,0.9493050847457633,1.3723598452881356,1,15,2003
Germany,2004-01-15,3.1799661016949186,0.9720169491525437,6.140212205613559,1,15,2004
Germany,2005-01-15,3.4391525423728817,-0.9021525423728802,0.16654062081355933,1,15,2005
Germany,2006-01-15,-1.6388305084745713,-6.658610169491523,0.028978774169491527,1,15,2006
Germany,2007-01-15,5.833067796610166,0.9724576271186444,0.1557755055457627,1,15,2007
Germany,2008-01-15,7.2449830508474555,3.7689830508474595,1.706430379118644,1,15,2008
Germany,2009-01-15,2.2508305084745737,-2.048644067796608,0.7629330111864406,1,15,2009
Germany,2010-01-15,-0.4845423728813579,-3.2279661016949164,0.49569417750508477,1,15,2010
Germany,2011-01-15,8.763728813559325,6.00876271186441,3.3643879801627117,1,15,2011
Germany,2012-01-15,1.6424406779661012,-3.0102372881355963,0.12694212738305086,1,15,2012
Germany,2013-01-15,-2.236237288135593,-7.377576271186442,1.2260112916881356,1,15,2013
Germany,2014-01-15,4.264745762711863,1.200169491525421,1.5660464817966102,1,15,2014
Germany,1979-01-16,-4.115813559322036,-9.190491525423733,2.223917151376271,1,16,1979
Germany,1980-01-16,-2.512915254237288,-9.138203389830506,0.6521677013288136,1,16,1980
Germany,1981-01-16,-0.8915084745762701,-3.878186440677966,3.09380380059661,1,16,1981
Germany,1982-01-16,0.4956779661016927,-4.377677966101697,0.04876347795254237,1,16,1982
Germany,1983-01-16,5.053440677966104,3.1542711864406776,7.963982812799999,1,16,1983
Germany,1984-01-16,2.300542372881354,-0.30271186440678005,5.656533892230508,1,16,1984
Germany,1985-01-16,-4.00201694915254,-8.299423728813556,0.862583878861017,1,16,1985
Germany,1986-01-16,1.1472372881355903,-1.7738305084745765,3.364214079416949,1,16,1986
Germany,1987-01-16,-9.47084745762712,-12.917084745762711,1.031713982481356,1,16,1987
Germany,1988-01-16,3.954711864406778,0.1989491525423698,1.131277847918644,1,16,1988
Germany,1989-01-16,6.7726271186440705,4.32928813559322,1.4094418647050848,1,16,1989
Germany,1990-01-16,8.572406779661017,4.771813559322035,3.2010193450983047,1,16,1990
Germany,1991-01-16,0.04555932203390067,-5.0695423728813545,0.014925810752542373,1,16,1991
Germany,1992-01-16,4.067593220338983,2.269203389830508,1.7909520087050848,1,16,1992
Germany,1993-01-16,10.65218644067797,7.134576271186437,1.2955488331118643,1,16,1993
Germany,1994-01-16,3.2250508474576267,-1.5155593220338988,0.8146641096,1,16,1994
Germany,1995-01-16,2.457525423728813,-1.2051864406779709,0.5373875572474577,1,16,1995
Germany,1996-01-16,0.5740169491525459,-2.27472881355932,0.5555136927050848,1,16,1996
Germany,1997-01-16,0.9785932203389814,-5.845355932203393,0.02304335727457627,1,16,1997
Germany,1998-01-16,7.468694915254236,4.440101694915255,4.2428003617220345,1,16,1998
Germany,1999-01-16,7.893711864406779,3.731406779661014,3.007827651905085,1,16,1999
Germany,2000-01-16,3.2608983050847473,-2.083593220338985,1.8542920384677966,1,16,2000
Germany,2001-01-16,-1.1543389830508493,-6.239271186440677,0.04611580401355932,1,16,2001
Germany,2002-01-16,-1.6422711864406778,-6.939254237288136,0.7906607384949152,1,16,2002
Germany,2003-01-16,4.030999999999999,1.3003389830508512,2.0483567630237287,1,16,2003
Germany,2004-01-16,4.145677966101695,1.2666101694915202,8.451151452488135,1,16,2004
Germany,2005-01-16,3.46289830508475,-2.2911016949152576,0.01408205446779661,1,16,2005
Germany,2006-01-16,-0.7305423728813564,-6.84457627118644,0.0684899920677966,1,16,2006
Germany,2007-01-16,6.507898305084744,1.2365084745762693,1.1431487238101694,1,16,2007
Germany,2008-01-16,7.617694915254239,4.801542372881354,3.567938043416949,1,16,2008
Germany,2009-01-16,1.171949152542374,-2.172847457627116,0.3976726686101695,1,16,2009
Germany,2010-01-16,-0.8288474576271193,-3.2045084745762713,0.678411754779661,1,16,2010
Germany,2011-01-16,8.678440677966101,4.674271186440678,0.6410824074305085,1,16,2011
Germany,2012-01-16,1.5643050847457662,-3.693186440677964,0.8028222957152542,1,16,2012
Germany,2013-01-16,-2.52766101694915,-5.796322033898307,1.885351343979661,1,16,2013
Germany,2014-01-16,5.666966101694916,1.8150338983050838,4.813879618067797,1,16,2014
Germany,1979-01-17,-2.46098305084746,-8.318593220338984,1.987722514616949,1,17,1979
Germany,1980-01-17,-3.467406779661018,-7.477864406779663,0.3036369791593221,1,17,1980
Germany,1981-01-17,1.0285593220339007,-2.806644067796609,7.294387436542373,1,17,1981
Germany,1982-01-17,-0.8873389830508521,-6.828966101694915,0.09735238214237288,1,17,1982
Germany,1983-01-17,6.708762711864411,3.8144067796610184,5.740328079335594,1,17,1983
Germany,1984-01-17,4.946898305084741,0.6185932203389835,8.02156140903051,1,17,1984
Germany,1985-01-17,-5.576627118644067,-10.62794915254237,0.6980509446101695,1,17,1985
Germany,1986-01-17,0.00903389830508851,-5.771389830508475,3.5760267835932202,1,17,1986
Germany,1987-01-17,-8.32322033898305,-13.456610169491524,0.37075953661016947,1,17,1987
Germany,1988-01-17,3.8588305084745778,1.2608813559322005,4.726448712244068,1,17,1988
Germany,1989-01-17,4.694542372881358,2.2953728813559295,1.6375624433084746,1,17,1989
Germany,1990-01-17,7.798525423728812,3.208305084745763,2.239933659132203,1,17,1990
Germany,1991-01-17,0.905220338983049,-5.2240847457627115,0.0,1,17,1991
Germany,1992-01-17,4.2158983050847425,1.366338983050847,1.8207453748881357,1,17,1992
Germany,1993-01-17,9.584152542372882,5.4581864406779665,0.5792263057220339,1,17,1993
Germany,1994-01-17,-0.2899322033898302,-4.567271186440679,0.5638639600677966,1,17,1994
Germany,1995-01-17,1.995406779661019,-2.552050847457627,0.13046266519322033,1,17,1995
Germany,1996-01-17,-0.26657627118644184,-5.012508474576274,0.4146640290305085,1,17,1996
Germany,1997-01-17,1.6540847457627113,-4.810881355932205,0.026418401450847458,1,17,1997
Germany,1998-01-17,5.629237288135593,1.9944576271186463,2.15520873339661,1,17,1998
Germany,1999-01-17,8.204338983050846,3.7571864406779643,1.8620314629559322,1,17,1999
Germany,2000-01-17,6.056762711864406,3.1935084745762765,4.492931215728813,1,17,2000
Germany,2001-01-17,-1.0483220338983052,-6.7952372881355965,0.07093396958644067,1,17,2001
Germany,2002-01-17,0.4671864406779664,-2.7924406779661055,0.6675592676338983,1,17,2002
Germany,2003-01-17,3.0081694915254285,-1.401593220338984,0.28548161572881353,1,17,2003
Germany,2004-01-17,4.210610169491524,1.3591355932203375,4.514519720623729,1,17,2004
